airport,time,count
KELP,0.101944,0.3
KEWR,0.101944,0.3
KIAH,0.101944,0.7
KJFK,0.101944,0.3
KLAX,0.101944,0.7
KLGA,0.101944,1.0
KMDW,0.101944,0.7
KMEM,0.101944,0.2
KMSP,0.101944,0.7
KORD,0.101944,1.3
KPDX,0.101944,0.2
KPHX,0.101944,0.5
KRDU,0.101944,0.5
KSEA,0.101944,0.2
KSFO,0.101944,1.3
KTUL,0.101944,0.3
KATL,0.118611,2.1
KBNA,0.118611,0.2
KBOS,0.118611,0.2
KCLE,0.118611,0.5
KCLT,0.118611,0.2
KDCA,0.118611,0.5
KDEN,0.118611,0.5
KDFW,0.118611,0.7
KDTW,0.118611,0.8
KEWR,0.118611,1.3
KIAH,0.118611,1.6
KJFK,0.118611,0.7
KLAX,0.118611,0.5
KLGA,0.118611,0.5
KMCI,0.118611,0.5
KMCO,0.118611,0.8
KMEM,0.118611,0.5
KMIA,0.118611,1.2
KMSP,0.118611,0.7
KORD,0.118611,0.7
KPHL,0.118611,1.0
KPHX,0.118611,0.3
KSAN,0.118611,0.2
KSDF,0.118611,0.3
KSEA,0.118611,0.2
KSFO,0.118611,0.2
KSMF,0.118611,0.7
KSTL,0.118611,0.5
KTPA,0.118611,0.3
KATL,0.135278,2.0
KBOS,0.135278,0.8
KBWI,0.135278,0.3
KCLE,0.135278,0.7
KCVG,0.135278,0.2
KDCA,0.135278,0.3
KDEN,0.135278,0.3
KDFW,0.135278,0.5
KDTW,0.135278,1.2
KEWR,0.135278,0.5
KFLL,0.135278,0.3
KIAD,0.135278,0.5
KIAH,0.135278,0.5
KJFK,0.135278,0.5
KLAX,0.135278,1.6
KLGA,0.135278,0.8
KMCO,0.135278,0.7
KMDW,0.135278,0.5
KMKE,0.135278,0.5
KMSP,0.135278,1.8
KMSY,0.135278,0.3
KOKC,0.135278,0.2
KONT,0.135278,0.5
KORD,0.135278,2.1
KPDX,0.135278,0.5
KPHL,0.135278,1.0
KPHX,0.135278,1.5
KRDU,0.135278,0.2
KSEA,0.135278,0.8
KSFO,0.135278,1.6
KSTL,0.135278,0.5
KTPA,0.135278,0.2
KATL,0.151944,2.3
KBNA,0.151944,0.3
KBOS,0.151944,1.7
KBWI,0.151944,0.5
KCLE,0.151944,0.8
KDCA,0.151944,0.2
KDEN,0.151944,0.2
KDFW,0.151944,1.9
KDTW,0.151944,1.3
KEWR,0.151944,0.5
KIAD,0.151944,0.2
KIAH,0.151944,1.2
KJFK,0.151944,0.9
KLAX,0.151944,0.5
KLGA,0.151944,0.2
KMCI,0.151944,0.2
KMIA,0.151944,1.0
KMSP,0.151944,0.3
KMSY,0.151944,0.3
KPDX,0.151944,0.2
KPHL,0.151944,0.8
KPHX,0.151944,0.8
KPSP,0.151944,0.3
KSJC,0.151944,0.5
KSNA,0.151944,0.5
KSTL,0.151944,0.3
KATL,0.168611,1.5
KBNA,0.168611,0.2
KBOS,0.168611,0.3
KCLE,0.168611,0.2
KCLT,0.168611,1.0
KDAL,0.168611,0.2
KDCA,0.168611,0.5
KDEN,0.168611,1.3
KDFW,0.168611,0.5
KDTW,0.168611,1.2
KEWR,0.168611,0.5
KHOU,0.168611,0.2
KIAD,0.168611,0.8
KIAH,0.168611,0.5
KJFK,0.168611,1.1
KLAX,0.168611,1.5
KLGA,0.168611,1.0
KMCO,0.168611,0.5
KMDW,0.168611,0.2
KMIA,0.168611,0.5
KMSP,0.168611,1.8
KONT,0.168611,0.2
KORD,0.168611,2.3
KPDX,0.168611,0.2
KPHL,0.168611,0.2
KPHX,0.168611,1.2
KRDU,0.168611,0.5
KSAN,0.168611,0.7
KSDF,0.168611,0.2
KSEA,0.168611,1.2
KSFO,0.168611,1.0
KSJC,0.168611,0.5
KSTL,0.168611,0.2
KTPA,0.168611,1.1
KATL,0.185278,1.8
KBOS,0.185278,0.2
KBWI,0.185278,0.8
KCLE,0.185278,0.7
KDAL,0.185278,0.2
KDCA,0.185278,0.8
KDEN,0.185278,0.5
KDFW,0.185278,1.9
KDTW,0.185278,1.3
KEWR,0.185278,1.0
KIAH,0.185278,1.7
KJFK,0.185278,0.7
KLAX,0.185278,0.7
KLGA,0.185278,1.0
KMCI,0.185278,0.5
KMIA,0.185278,0.2
KMKE,0.185278,0.3
KMSP,0.185278,1.5
KMSY,0.185278,1.0
KOKC,0.185278,0.2
KORD,0.185278,0.5
KPHL,0.185278,1.0
KPHX,0.185278,0.8
KPSP,0.185278,0.3
KSAN,0.185278,0.3
KSEA,0.185278,0.8
KSFO,0.185278,0.5
KSLC,0.185278,0.5
KSMF,0.185278,0.5
KSNA,0.185278,0.4
KSTL,0.185278,0.5
KTPA,0.185278,0.2
KTUS,0.185278,0.3
KATL,0.201944,1.5
KBNA,0.201944,0.3
KBOS,0.201944,0.3
KCID,0.201944,0.3
KCLE,0.201944,0.8
KCVG,0.201944,0.2
KDCA,0.201944,1.0
KDEN,0.201944,0.8
KDFW,0.201944,0.8
KDTW,0.201944,1.6
KEWR,0.201944,0.5
KFLL,0.201944,0.2
KIAD,0.201944,0.2
KIAH,0.201944,1.1
KJFK,0.201944,0.2
KLAX,0.201944,1.4
KMIA,0.201944,0.7
KMSP,0.201944,1.5
KORD,0.201944,0.8
KPHL,0.201944,1.0
KPHX,0.201944,0.5
KPSP,0.201944,0.2
KRDU,0.201944,0.3
KSEA,0.201944,0.2
KSFO,0.201944,1.0
KSJC,0.201944,0.3
KSNA,0.201944,0.8
KSTL,0.201944,0.5
KTUS,0.201944,0.5
KATL,0.218611,2.4
KBOS,0.218611,1.3
KBWI,0.218611,0.2
KCLE,0.218611,0.7
KCVG,0.218611,0.3
KDAL,0.218611,0.3
KDEN,0.218611,0.7
KDFW,0.218611,1.3
KDTW,0.218611,1.7
KEWR,0.218611,0.7
KIAD,0.218611,0.3
KIAH,0.218611,1.5
KIND,0.218611,0.2
KLAX,0.218611,1.3
KLGA,0.218611,1.0
KLIT,0.218611,0.6
KMCO,0.218611,0.7
KMDW,0.218611,0.5
KMEM,0.218611,0.3
KMIA,0.218611,0.3
KMSP,0.218611,1.0
KOAK,0.218611,0.5
KOKC,0.218611,0.3
KONT,0.218611,0.3
KORD,0.218611,1.7
KPDX,0.218611,0.3
KPHL,0.218611,0.7
KPHX,0.218611,2.0
KSDF,0.218611,0.8
KSEA,0.218611,0.3
KSFO,0.218611,0.5
KSNA,0.218611,0.2
KTPA,0.218611,0.7
KTUS,0.218611,0.2
KATL,0.235278,0.6
KBOS,0.235278,0.2
KBWI,0.235278,0.5
KCLE,0.235278,0.5
KCLT,0.235278,0.7
KCMH,0.235278,0.5
KDAL,0.235278,0.2
KDCA,0.235278,1.0
KDFW,0.235278,1.0
KDTW,0.235278,1.0
KEWR,0.235278,0.8
KHOU,0.235278,0.3
KIAD,0.235278,0.2
KIAH,0.235278,1.5
KIND,0.235278,0.3
KJFK,0.235278,0.5
KLAX,0.235278,0.5
KLGA,0.235278,0.3
KMCI,0.235278,0.5
KMDW,0.235278,0.7
KMEM,0.235278,0.5
KMIA,0.235278,0.5
KMSP,0.235278,1.1
KMSY,0.235278,0.5
KOAK,0.235278,0.2
KORD,0.235278,1.0
KPDX,0.235278,0.7
KPHL,0.235278,0.7
KPHX,0.235278,0.5
KSDF,0.235278,0.2
KSEA,0.235278,0.7
KSFO,0.235278,1.1
KSJC,0.235278,0.2
KSNA,0.235278,0.5
KTPA,0.235278,0.3
KATL,0.251944,1.9
KBOS,0.251944,0.3
KBWI,0.251944,0.5
KCLT,0.251944,0.5
KCVG,0.251944,0.5
KDAL,0.251944,0.3
KDCA,0.251944,0.2
KDEN,0.251944,0.5
KDFW,0.251944,1.0
KDTW,0.251944,1.3
KEWR,0.251944,0.5
KFLL,0.251944,0.5
KHOU,0.251944,0.5
KIAD,0.251944,0.2
KIAH,0.251944,0.7
KJFK,0.251944,0.8
KLAX,0.251944,2.3
KLGA,0.251944,0.7
KLIT,0.251944,0.5
KMCO,0.251944,0.3
KMDW,0.251944,0.5
KMIA,0.251944,1.2
KMKE,0.251944,0.3
KMSP,0.251944,1.7
KOAK,0.251944,0.5
KORD,0.251944,1.4
KPHL,0.251944,0.5
KPHX,0.251944,0.8
KRDU,0.251944,0.7
KSEA,0.251944,1.0
KSFO,0.251944,0.7
KSJC,0.251944,0.3
KSTL,0.251944,0.7
KATL,0.268611,1.5
KBOS,0.268611,1.7
KBWI,0.268611,0.2
KCLE,0.268611,0.8
KCLT,0.268611,0.5
KDCA,0.268611,0.8
KDEN,0.268611,0.8
KDFW,0.268611,1.2
KDTW,0.268611,2.0
KEWR,0.268611,0.5
KFLL,0.268611,0.3
KIAD,0.268611,0.2
KIAH,0.268611,0.8
KJFK,0.268611,0.7
KLAX,0.268611,0.5
KLGA,0.268611,0.8
KLIT,0.268611,0.2
KMCI,0.268611,0.3
KMCO,0.268611,0.7
KMDW,0.268611,0.3
KMSP,0.268611,1.8
KOAK,0.268611,0.3
KORD,0.268611,1.1
KPHL,0.268611,0.5
KPHX,0.268611,1.0
KSAN,0.268611,0.2
KSEA,0.268611,1.0
KSFO,0.268611,0.3
KSMF,0.268611,0.2
KSTL,0.268611,0.3
KATL,0.285278,1.0
KBOS,0.285278,0.2
KCLE,0.285278,0.8
KCMH,0.285278,0.2
KDCA,0.285278,0.5
KDEN,0.285278,0.5
KDFW,0.285278,2.2
KDTW,0.285278,0.2
KEWR,0.285278,1.3
KHOU,0.285278,0.5
KIAH,0.285278,0.5
KJFK,0.285278,0.5
KLAX,0.285278,1.2
KLGA,0.285278,0.5
KMCI,0.285278,0.7
KMCO,0.285278,0.2
KMEM,0.285278,0.3
KMIA,0.285278,0.5
KMKE,0.285278,0.5
KMSP,0.285278,1.1
KOKC,0.285278,0.5
KORD,0.285278,1.4
KPBI,0.285278,0.2
KPHL,0.285278,1.0
KSAN,0.285278,0.8
KSEA,0.285278,0.3
KSFO,0.285278,1.2
KSLC,0.285278,0.3
KSMF,0.285278,0.3
KSNA,0.285278,0.8
KSTL,0.285278,0.2
KATL,0.301944,2.0
KBOS,0.301944,0.3
KCLE,0.301944,0.2
KCLT,0.301944,1.2
KDAL,0.301944,0.2
KDCA,0.301944,0.5
KDEN,0.301944,0.3
KDFW,0.301944,0.5
KDTW,0.301944,1.8
KEWR,0.301944,0.3
KFLL,0.301944,0.8
KHOU,0.301944,0.3
KIAD,0.301944,0.2
KIAH,0.301944,1.0
KJFK,0.301944,0.5
KLAX,0.301944,2.3
KLGA,0.301944,0.5
KLIT,0.301944,0.3
KMCO,0.301944,0.5
KMDW,0.301944,0.8
KMSP,0.301944,1.5
KORD,0.301944,0.5
KPDX,0.301944,0.2
KPHL,0.301944,0.8
KPHX,0.301944,1.3
KRSW,0.301944,0.5
KSAN,0.301944,0.3
KSEA,0.301944,0.8
KSLC,0.301944,0.2
KXNA,0.301944,0.2
KATL,0.318611,2.2
KBOS,0.318611,0.5
KCLE,0.318611,0.8
KCLT,0.318611,0.3
KCMH,0.318611,0.3
KDCA,0.318611,1.0
KDFW,0.318611,1.2
KDTW,0.318611,1.8
KEWR,0.318611,1.3
KFLL,0.318611,0.7
KIAH,0.318611,0.9
KIND,0.318611,0.3
KLAX,0.318611,0.3
KLGA,0.318611,1.0
KMCO,0.318611,1.0
KMDW,0.318611,0.3
KMEM,0.318611,0.3
KMIA,0.318611,1.5
KMKE,0.318611,0.5
KMSP,0.318611,1.2
KMSY,0.318611,0.3
KORD,0.318611,1.4
KPDX,0.318611,0.8
KPHL,0.318611,0.4
KPHX,0.318611,1.0
KRDU,0.318611,0.5
KSAN,0.318611,0.5
KSEA,0.318611,0.2
KSFO,0.318611,0.7
KSJC,0.318611,0.5
KSMF,0.318611,0.2
KSTL,0.318611,0.5
KTUS,0.318611,0.3
KATL,0.335278,1.8
KBNA,0.335278,0.3
KBOS,0.335278,1.0
KBWI,0.335278,0.2
KCLE,0.335278,0.5
KCLT,0.335278,0.5
KDCA,0.335278,0.8
KDEN,0.335278,0.3
KDFW,0.335278,1.9
KDTW,0.335278,1.0
KIAH,0.335278,0.5
KJFK,0.335278,1.0
KLAX,0.335278,1.4
KLGA,0.335278,0.5
KLGB,0.335278,0.2
KMCI,0.335278,0.3
KMCO,0.335278,0.5
KMIA,0.335278,0.2
KMSP,0.335278,1.0
KORD,0.335278,1.3
KPDX,0.335278,0.2
KPHL,0.335278,0.8
KPHX,0.335278,1.0
KSDF,0.335278,0.2
KSEA,0.335278,1.5
KSFO,0.335278,0.8
KSJC,0.335278,0.2
KSNA,0.335278,0.5
KTPA,0.335278,0.3
KATL,0.351944,1.4
KBOS,0.351944,1.3
KBWI,0.351944,0.5
KCLE,0.351944,0.7
KCLT,0.351944,0.7
KDAL,0.351944,0.2
KDCA,0.351944,0.2
KDEN,0.351944,0.2
KDFW,0.351944,0.3
KDTW,0.351944,1.7
KEWR,0.351944,0.2
KFLL,0.351944,0.5
KIAH,0.351944,0.7
KJFK,0.351944,0.7
KLAX,0.351944,0.6
KLGA,0.351944,0.2
KLGB,0.351944,0.3
KLIT,0.351944,0.5
KMCI,0.351944,0.5
KMCO,0.351944,0.3
KMEM,0.351944,0.2
KMIA,0.351944,0.7
KMKE,0.351944,0.3
KMSP,0.351944,1.0
KORD,0.351944,1.4
KPHL,0.351944,0.2
KPHX,0.351944,1.3
KRDU,0.351944,0.3
KRSW,0.351944,0.3
KSAN,0.351944,0.2
KSEA,0.351944,0.5
KSMF,0.351944,0.3
KSTL,0.351944,0.5
KTUL,0.351944,0.5
KATL,0.368611,1.8
KBOS,0.368611,0.2
KCLE,0.368611,0.3
KDCA,0.368611,0.3
KDFW,0.368611,0.8
KDSM,0.368611,0.5
KDTW,0.368611,0.8
KEWR,0.368611,0.8
KFLL,0.368611,0.2
KIAD,0.368611,0.5
KIAH,0.368611,1.0
KJFK,0.368611,0.8
KLAX,0.368611,1.4
KLGA,0.368611,0.5
KLIT,0.368611,0.2
KMCI,0.368611,0.2
KMCO,0.368611,0.5
KMIA,0.368611,0.5
KMSP,0.368611,1.0
KMSY,0.368611,0.3
KORD,0.368611,1.5
KPDX,0.368611,0.8
KPHL,0.368611,1.0
KPHX,0.368611,0.7
KSEA,0.368611,0.8
KSFO,0.368611,0.3
KSJC,0.368611,0.5
KSNA,0.368611,0.8
KSTL,0.368611,0.5
KTUS,0.368611,0.3
KATL,0.385278,1.8
KBNA,0.385278,0.7
KBOS,0.385278,0.3
KBUR,0.385278,0.5
KBWI,0.385278,0.8
KCLT,0.385278,0.5
KDCA,0.385278,0.7
KDEN,0.385278,1.0
KDFW,0.385278,0.5
KDTW,0.385278,1.8
KEWR,0.385278,0.7
KHOU,0.385278,0.5
KIAD,0.385278,0.3
KIAH,0.385278,0.2
KJFK,0.385278,0.5
KLAX,0.385278,0.8
KLGA,0.385278,0.5
KLGB,0.385278,0.3
KMCI,0.385278,0.3
KMDW,0.385278,0.3
KMEM,0.385278,0.3
KMIA,0.385278,0.2
KMSP,0.385278,0.2
KMSY,0.385278,0.5
KORD,0.385278,1.8
KPHL,0.385278,1.0
KPHX,0.385278,0.5
KRDU,0.385278,0.7
KSDF,0.385278,0.2
KSEA,0.385278,0.2
KSFO,0.385278,0.7
KABQ,0.401944,1.0
KATL,0.401944,0.5
KBNA,0.401944,0.5
KCLE,0.401944,0.3
KCVG,0.401944,0.5
KDAL,0.401944,0.5
KDCA,0.401944,0.3
KDFW,0.401944,1.0
KDTW,0.401944,0.5
KEWR,0.401944,0.7
KIAD,0.401944,0.5
KIAH,0.401944,1.0
KJFK,0.401944,1.0
KLAX,0.401944,1.4
KLGA,0.401944,1.0
KMDW,0.401944,0.2
KMEM,0.401944,0.2
KMIA,0.401944,0.6
KMSP,0.401944,1.0
KOAK,0.401944,0.3
KORD,0.401944,0.5
KPHL,0.401944,1.2
KPHX,0.401944,0.3
KPSP,0.401944,0.5
KSEA,0.401944,0.2
KSFO,0.401944,0.5
KSMF,0.401944,0.2
KSTL,0.401944,0.3
KTPA,0.401944,0.3
KATL,0.418611,1.8
KBNA,0.418611,0.5
KBOS,0.418611,0.3
KBWI,0.418611,0.2
KCLE,0.418611,0.5
KDCA,0.418611,0.5
KDEN,0.418611,0.8
KDFW,0.418611,1.2
KDTW,0.418611,1.7
KELP,0.418611,0.5
KEWR,0.418611,0.7
KFLL,0.418611,0.5
KIAD,0.418611,0.5
KIAH,0.418611,0.8
KJFK,0.418611,0.7
KLAX,0.418611,1.3
KLGA,0.418611,0.5
KMCI,0.418611,1.2
KMEM,0.418611,0.2
KMIA,0.418611,0.5
KMKE,0.418611,0.3
KMSP,0.418611,0.8
KMSY,0.418611,0.2
KORD,0.418611,0.5
KPBI,0.418611,0.3
KPHL,0.418611,0.6
KPHX,0.418611,0.6
KSDF,0.418611,0.3
KSEA,0.418611,0.8
KSJC,0.418611,1.0
KSNA,0.418611,0.2
KTUS,0.418611,0.2
KATL,0.435278,1.0
KBOS,0.435278,0.5
KBWI,0.435278,0.3
KCLE,0.435278,0.7
KCLT,0.435278,0.2
KCMH,0.435278,0.3
KDAL,0.435278,1.1
KDCA,0.435278,0.8
KDEN,0.435278,0.3
KDFW,0.435278,1.1
KDTW,0.435278,1.3
KEWR,0.435278,0.7
KHOU,0.435278,0.5
KIAD,0.435278,1.0
KIAH,0.435278,1.2
KJFK,0.435278,1.0
KLAX,0.435278,1.2
KLGA,0.435278,0.5
KMCO,0.435278,1.0
KMIA,0.435278,0.2
KMSP,0.435278,0.4
KMSY,0.435278,0.3
KORD,0.435278,1.7
KPBI,0.435278,0.5
KPDX,0.435278,0.3
KPHL,0.435278,1.2
KPHX,0.435278,0.5
KRDU,0.435278,0.3
KRSW,0.435278,0.2
KSEA,0.435278,0.5
KSFO,0.435278,0.2
KSLC,0.435278,0.5
KSMF,0.435278,0.5
KSNA,0.435278,0.5
KATL,0.451944,2.5
KBWI,0.451944,0.7
KCLE,0.451944,0.8
KDCA,0.451944,0.2
KDEN,0.451944,0.3
KDFW,0.451944,0.2
KDTW,0.451944,0.9
KEWR,0.451944,0.8
KFLL,0.451944,0.2
KIAD,0.451944,0.7
KIAH,0.451944,1.0
KJFK,0.451944,1.1
KLAX,0.451944,1.0
KLGA,0.451944,0.7
KMDW,0.451944,0.3
KMKE,0.451944,0.8
KMSP,0.451944,0.8
KMSY,0.451944,0.8
KOAK,0.451944,0.2
KONT,0.451944,0.5
KORD,0.451944,1.1
KPHL,0.451944,0.5
KPHX,0.451944,0.8
KRDU,0.451944,0.5
KSAN,0.451944,0.5
KSFO,0.451944,0.8
KSJC,0.451944,0.2
KSMF,0.451944,0.3
KATL,0.468611,1.7
KBOS,0.468611,0.5
KBWI,0.468611,0.3
KCLE,0.468611,0.2
KCLT,0.468611,0.8
KDAL,0.468611,0.5
KDCA,0.468611,0.8
KDFW,0.468611,2.2
KDTW,0.468611,2.1
KEWR,0.468611,0.4
KHOU,0.468611,0.2
KIAH,0.468611,1.4
KJFK,0.468611,0.5
KLAX,0.468611,0.5
KLGA,0.468611,0.5
KMCO,0.468611,0.5
KMIA,0.468611,0.8
KMSY,0.468611,0.2
KORD,0.468611,0.7
KPDX,0.468611,0.5
KPHL,0.468611,2.0
KPHX,0.468611,0.5
KRDU,0.468611,0.3
KSEA,0.468611,0.2
KSJC,0.468611,0.5
KSLC,0.468611,1.1
KTUS,0.468611,0.5
KATL,0.485278,1.0
KBNA,0.485278,0.8
KBOS,0.485278,1.0
KBWI,0.485278,0.5
KCLE,0.485278,1.0
KCLT,0.485278,0.3
KCMH,0.485278,0.3
KDEN,0.485278,1.0
KDFW,0.485278,1.5
KDTW,0.485278,1.7
KEWR,0.485278,0.8
KIAD,0.485278,0.5
KIAH,0.485278,0.8
KIND,0.485278,0.7
KJFK,0.485278,0.5
KLAX,0.485278,0.8
KLGA,0.485278,1.3
KMCO,0.485278,0.3
KMIA,0.485278,0.5
KMKE,0.485278,0.2
KMSP,0.485278,0.7
KORD,0.485278,1.8
KPHL,0.485278,1.5
KPHX,0.485278,0.2
KRDU,0.485278,0.5
KSAN,0.485278,0.3
KSEA,0.485278,1.0
KSFO,0.485278,0.5
KSLC,0.485278,0.8
KSTL,0.485278,0.3
KATL,0.501944,2.8
KBOS,0.501944,0.3
KCLE,0.501944,0.8
KCOS,0.501944,0.2
KDAL,0.501944,0.3
KDCA,0.501944,0.8
KDFW,0.501944,1.5
KDTW,0.501944,0.8
KEWR,0.501944,1.0
KIAD,0.501944,0.3
KIAH,0.501944,0.9
KIND,0.501944,1.0
KJFK,0.501944,0.6
KLAX,0.501944,2.3
KLGA,0.501944,0.2
KMEM,0.501944,0.2
KMIA,0.501944,1.0
KONT,0.501944,0.3
KORD,0.501944,0.3
KPHL,0.501944,1.3
KPHX,0.501944,0.5
KRSW,0.501944,0.3
KSAN,0.501944,0.2
KSEA,0.501944,1.0
KSFO,0.501944,0.8
KSJC,0.501944,0.7
KTPA,0.501944,0.8
KTUS,0.501944,0.5
KATL,0.518611,0.4
KBNA,0.518611,0.9
KBOS,0.518611,0.5
KBWI,0.518611,0.2
KCLT,0.518611,0.3
KDAL,0.518611,0.5
KDCA,0.518611,0.3
KDEN,0.518611,0.2
KDFW,0.518611,1.0
KDSM,0.518611,0.2
KDTW,0.518611,1.5
KELP,0.518611,0.3
KEWR,0.518611,0.5
KFLL,0.518611,0.5
KHOU,0.518611,0.2
KIAH,0.518611,1.7
KJFK,0.518611,1.0
KLAX,0.518611,0.2
KLGA,0.518611,0.8
KMCI,0.518611,0.5
KMIA,0.518611,0.8
KMSP,0.518611,0.7
KMSY,0.518611,0.5
KOKC,0.518611,0.8
KORD,0.518611,1.2
KPDX,0.518611,0.7
KPHL,0.518611,1.0
KSAN,0.518611,0.8
KSEA,0.518611,0.3
KSFO,0.518611,0.7
KSLC,0.518611,0.8
KSMF,0.518611,0.5
KTPA,0.518611,0.2
KATL,0.535278,1.5
KBOS,0.535278,0.2
KBWI,0.535278,0.8
KCLE,0.535278,0.7
KCLT,0.535278,0.5
KCMH,0.535278,0.2
KDCA,0.535278,0.5
KDEN,0.535278,0.5
KDFW,0.535278,1.4
KDSM,0.535278,0.5
KDTW,0.535278,0.7
KELP,0.535278,0.2
KEWR,0.535278,0.7
KIAD,0.535278,0.8
KJFK,0.535278,1.0
KLAX,0.535278,1.3
KLGA,0.535278,0.2
KLGB,0.535278,0.5
KMCO,0.535278,0.5
KMIA,0.535278,0.2
KMKE,0.535278,0.5
KMSP,0.535278,0.3
KORD,0.535278,1.7
KPDX,0.535278,0.2
KPHL,0.535278,1.5
KPHX,0.535278,0.7
